Usage;Nomor Dokumen;Tanggal Dokumen;Dasar;Part Number;Dari Gudang;Ke Gudang;Dipasang di No Reg Sista;Status Permintaan;Status Penerimaan;Status Pengiriman;Inbox Dokumen;Jabatan;Site;Assignment Status
28707;BB 117 4 338 002;03/12/2025;PERMINTAAN BARANG;1103P273;GPL ABD GD 03A;TB SKADUD 21;TT-3106;Diproses;COMPLETE;SHIPPED;;;LANUD ABD;
28804;AF1194245157;01/11/2025;;J114509-523;GPL RSN;TB SKADUD 16;TS-1627;Diproses;NONE;ENTERED;Benevis, S.E.;;LANUD RSN;ACTIVE
36809;CA2055210008;29/08/2025;;20184-0106;GPL ADI GD 08;TB SKATEK 043;LL-0118;Diproses;NONE;SHIPPED;Cahyo Hastariyono;Ka TB Subsikal Sihar Skatek 043 Lanud Adi;LANUD ADI;ACTIVE
38478;AE1234567001;28/08/2025;SPK/001/VII/2025;S1450-21-20-063;GPL SDM;TB SKADUD 7;HL-1203;Diproses;COMPLETE;SHIPPED;Muhammad Syahrul Adam Elang Wi;Ka TB Subsikal Sihar Skadud 7 Wingud 8 Lanud Sdm.;LANUD SDM;ACTIVE
38344;BA1115238001;26/08/2025;-;M83723/75R1020N;GPL IWJ GD 13;TB SKADUD 3;F-16 AM/BM;;NONE;ENTERED;Muh. Ali Kaplale, S.E.;Kasikalmat Dislog Lanud Iwj;LANUD IWJ;ACTIVE
38327;BB 118 5 238 001;26/08/2025;Permintaan Kasihar Skadron Udara 32;220001;GPL ABD;TB SKADUD 32;A-1328;Diproses;NONE;ENTERED;;;LANUD ABD;
38330;BB 118 5 238 002;26/08/2025;Permintaan Kasihar Skadron Udara 32;3505674-1-1;GPL ABD;TB SKADUD 32;A-1326;Diproses;NONE;ENTERED;;;LANUD ABD;
38362;BB 202 5 238 001;26/08/2025;PERMINTAAN KOMANDAN SKATEK 022;414978;GPL ABD;TB SKATEK 022;TT-3114;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38385;BB 117 5 238 001;26/08/2025;PERINTAH KOMANDAN SKADRON UDARA 21;68-450;GPL ABD;TB SKADUD 21;TT-3109;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38400;BB 118 5 238 001;26/08/2025;PERINTAH KASIHAR SKADUD 32;NAS636-A88;GPL ABD GD 04A;TB SKADUD 32;A-1326;Diproses;NONE;ENTERED;;;LANUD ABD;
38402;BB 118 5 238 002;26/08/2025;PERINTAH KASIHAR SKADUD 32;NAS632-74;GPL ABD GD 04A;TB SKADUD 32;A-1326;Diproses;NONE;ENTERED;;;LANUD ABD;
38432;BB 202 5 238 001;26/08/2025;PERMINTAAN KOMANDAN SKATEK 022;9534716;GPL ABD;TB SKATEK 022;A-2115;Diproses;NONE;SHIPPED;Abdul Haris Pujiantoro, S.Tr.Han.;Ka TB Subsikal Sihar Skatek 022 Lanud Abd;LANUD ABD;ACTIVE
38415;AB1035232011;26/08/2025;NOTA DINAS;332A33-0036-23;GPL ATS GD 01;TB SKADUD 6;H-3214;;NONE;ENTERED;Nur Anna Tsaniyah, S.T.;Kasikalmat Dislog Lanud Ats;LANUD ATS;ACTIVE
38427;BB 202 5 238 001;26/08/2025;PERMINTAAN KOMANDAN SKATEK 022;AN960-616;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38428;BB 202 5 238 002;26/08/2025;PERMINTAAN KOMANDAN SKATEK 022;AN6235-3A;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38320;BB 118 5 237 004;25/08/2025;Permintaan Kasihar skadron 32;7216-FT-160T;GPL ABD;TB SKADUD 32;A-1315;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38299;BB 118 5 237 002;25/08/2025;Permintaan Kasihar Skadron Udara 32;NAS636A88;GPL ABD;TB SKADUD 32;A-1315;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38301;BB 118 5 237 003;25/08/2025;Permintaan Kasihar Skadron Udara 32;A-846-1/6;GPL ABD;TB SKADUD 32;A-1315;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38251;BA1115237001;25/08/2025;-;9442;GPL IWJ GD 04;TB SKADUD 3;F-16 AM/BM;;NONE;ENTERED;Muh. Ali Kaplale, S.E.;Kasikalmat Dislog Lanud Iwj;LANUD IWJ;ACTIVE
38254;BB 202 5 237 003;25/08/2025;PERMINTAAN KOMANDAN SKATEK 022;750244-11;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38248;BB 202 5 237 002;25/08/2025;PERMINTAAN KOMANDAN SKATEK 022;ST-104A;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38255;BB 202 5 237 004;25/08/2025;PERMINTAAN KOMANDAN SKATEK 022;398654-1-2;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38256;BB 202 5 237 005;25/08/2025;PERMINTAAN KOMANDAN SKATEK 022;18276A300;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38257;BB 202 5 237 006;25/08/2025;PERMINTAAN KOMANDAN SKATEK 022;MS21042-3;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38258;BB 202 5 237 007;25/08/2025;PERMINTAAN KOMANDAN SKATEK 022;3505786-1;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38295;BB 118 5 237 001;25/08/2025;Permintaan Kasihar Skadron Udara 32;NAS632-74;GPL ABD;TB SKADUD 32;A-1315;Diproses;NONE;SHIPPED;Imam Bazuri OK, S.Tr.Han.;Kasubsikal Sihar Skadud 32 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38303;BB 112 5 237 001;25/08/2025;PERINTAH KASIHAR SAKDRON UDARA 4;AN6235-1A;GPL ABD;TB SKADUD 4;A-2103;Diproses;NONE;SHIPPED;Kris Widiantoro;Ka TB Subsikal Sihar Skadud 4 Wing 2 Lanud Abd;LANUD ABD;ACTIVE
38305;BB 112 5 237 002;25/08/2025;PERINTAH KASIHAR SKADRON UDARA 4;LN65019-05028;GPL ABD;TB SKADUD 4;A-2104;Diproses;NONE;SHIPPED;Kris Widiantoro;Ka TB Subsikal Sihar Skadud 4 Wing 2 Lanud Abd;LANUD ABD;ACTIVE
38127;BA1115226001;25/08/2025;-;A9506-4;GPL IWJ GD 12;TB SKADUD 3;F-16 AM/BM;;NONE;ENTERED;Muh. Ali Kaplale, S.E.;Kasikalmat Dislog Lanud Iwj;LANUD IWJ;ACTIVE
38155;BA1115225004;25/08/2025;-;16C0851-837;GPL IWJ GD 12;TB SKADUD 3;F-16 AM/BM;;NONE;ENTERED;Muh. Ali Kaplale, S.E.;Kasikalmat Dislog Lanud Iwj;LANUD IWJ;ACTIVE
38237;BB 202 5 237 001;25/08/2025;PERMINTAAN KOMANDAN SKATEK 022;23075403N;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38113;BB 117 5 237 001;25/08/2025;PERINTAH KOMANDAN SKADRON UDARA 21;49-155;GPL ABD;TB SKADUD 21;TT-3109;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38114;BB 117 5 237 002;25/08/2025;PERINTAH KOMANDAN SKADRON UDARA 21;3260079-0101;GPL ABD;TB SKADUD 21;TT-3109;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
36272;BC1135209001;25/08/2025;SPK (SURAT PERINTAH KERJA);419K62T2;GPL HND;TB SKADUD 5;AI-7304;Diproses;COMPLETE;SHIPPED;Jordan Prabowo Sukendro, S.Tr.;Kasubsikal Sihar Skadud 5 Wingud 5 Lanud Hnd;LANUD HND;ACTIVE
38111;BB 118 5 236 001;24/08/2025;Permintaan Kasihar Skadron Udara 32;T56-A-15 / T56A-15 / T56-AD-15 / T56-A15;GPL ABD;TB SKADUD 32;A-1315;Diproses;NONE;SHIPPED;Imam Bazuri OK, S.Tr.Han.;Kasubsikal Sihar Skadud 32 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38040;BC 122 25 205 006;24/08/2025;pku;463001-81800506;GPL HND;TB SKADUD 33;A-1330;Diproses;COMPLETE;SHIPPED;Kevin Fidelis Sibarani, S.Tr.H;Ka TB Subsikal Sihar Skadud 33 Wing 5 Lanud Hnd;LANUD HND;ACTIVE
37983;BB 202 5 234 001;22/08/2025;PERMINTAAN KOMANDAN SKATEK 022;398648-1-1;GPL ABD;TB SKATEK 022;A-1332;;NONE;ENTERED;;;LANUD ABD;
38101;BB 118 5 234 001;22/08/2025;PERMINTAAN KASIHAR SKADRON UDARA 32;250A200;GPL ABD;TB SKADUD 32;A-1328;Diproses;NONE;SHIPPED;Imam Bazuri OK, S.Tr.Han.;Kasubsikal Sihar Skadud 32 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38104;BB 118 5 234 002;22/08/2025;PERMINTAAN KASIHAR SKADRON UDARA 32;MS28775-112;GPL ABD;TB SKADUD 32;A-1328;Diproses;NONE;SHIPPED;Imam Bazuri OK, S.Tr.Han.;Kasubsikal Sihar Skadud 32 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38105;BB 118 5 234 003;22/08/2025;PERMINTAAN KASIHAR SKADRON UDARA 32;MS28775-222;GPL ABD;TB SKADUD 32;A-1328;Diproses;NONE;SHIPPED;Imam Bazuri OK, S.Tr.Han.;Kasubsikal Sihar Skadud 32 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38063;BB 202 5 234 001;22/08/2025;PERMINTAAN KOMANDAN SKATEK 022;3102170-7;GPL ABD;TB SKATEK 022;A-2105;Diproses;COMPLETE;SHIPPED;Abdul Haris Pujiantoro, S.Tr.Han.;Ka TB Subsikal Sihar Skatek 022 Lanud Abd;LANUD ABD;ACTIVE
38099;BB 202 5 234 001;22/08/2025;PERMINTAAN KOMANDAN SKATEK 022;398648-1-1;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38102;BB 202 5 234 002;22/08/2025;PERMINTAAN KOMANDAN SKATEK 022;398654-1-2;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38103;BB 202 5 234 003;22/08/2025;PERMINTAAN KOMANDAN SKATEK 022;1650E412;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
38108;BB 112 5 234 001;22/08/2025;PERINTAH KASIHAR SKADRON UDARA 4;8DJ81CER4;GPL ABD;TB SKADUD 4;A-2103;Diproses;NONE;SHIPPED;Kris Widiantoro;Ka TB Subsikal Sihar Skadud 4 Wing 2 Lanud Abd;LANUD ABD;ACTIVE
38086;BB 117 5 234 003;22/08/2025;PERINTAH KOMANDAN SKADRON UDARA 21;NAS1149DN542K;GPL ABD;TB SKADUD 21;TT-3104;Diproses;NONE;SHIPPED;Mizan Nugroho, S.Tr.Han.;Ka TB Subsikal Sihar Skadud 21 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38080;BB 117 5 234 001;22/08/2025;PERINTAH KOMANDAN SKADRON UDARA 21;ML-1683;GPL ABD;TB SKADUD 21;TT-3115;Diproses;COMPLETE;SHIPPED;Mizan Nugroho, S.Tr.Han.;Ka TB Subsikal Sihar Skadud 21 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38085;BB 117 5 234 002;22/08/2025;PERINTAH KOMANDAN SKADRON UDARA 21;NAS9302B-4-04;GPL ABD;TB SKADUD 21;TT-3104;Diproses;NONE;SHIPPED;Mizan Nugroho, S.Tr.Han.;Ka TB Subsikal Sihar Skadud 21 Wingud 2 Lanud Abd;LANUD ABD;ACTIVE
38227;BC1135234001;22/08/2025;SPK (SURAT PERINTAH KERJA);10-60506-16;GPL HND;TB SKADUD 5;AI-7304;Diproses;COMPLETE;SHIPPED;Grejorio Trevelly Exgriano Sar;Ka TB Subsikal Sihar Skadud 5;LANUD HND;ACTIVE
38333;AA 110 5 234 001;22/08/2025;BPB/78/VIII/2025;612M2GG1;GPL HLM;TB SKADUD 45;H-3206;;NONE;ENTERED;Agung Widayat, A.Md., S.Sos.;Kasikalmat Dislog Lanud Hlm;LANUD HLM;ACTIVE
36265;BC1135203002;22/08/2025;SPK (SURAT PERINTAH KERJA);17870;GPL HND;TB SKADUD 5;AI-7303;Diproses;COMPLETE;SHIPPED;Jordan Prabowo Sukendro, S.Tr.;Kasubsikal Sihar Skadud 5 Wingud 5 Lanud Hnd;LANUD HND;ACTIVE
36289;BC1135202002;21/08/2025;SPK (SURAT PERINTAH KERJA);419K62T2;GPL HND;TB SKADUD 5;;Diproses;COMPLETE;SHIPPED;Grejorio Trevelly Exgriano Sar;Ka TB Subsikal Sihar Skadud 5;LANUD HND;ACTIVE
38266;BC 206 5 233 001;21/08/2025;CHECK B-18;33600011;GPL HND;TB SKATEK 044;AI-7301;Diproses;COMPLETE;SHIPPED;Fahmi Budiwan, S.Tr.Han;Ka TB Subsikal Sihar;LANUD HND;ACTIVE
38269;BC 206 5 233 003;21/08/2025;CHECK B-18;65-44651-15;GPL HND;TB SKATEK 044;AI-7301;Diproses;COMPLETE;SHIPPED;Fahmi Budiwan, S.Tr.Han;Ka TB Subsikal Sihar;LANUD HND;ACTIVE
38185;BC1135233001;21/08/2025;SPK (SURAT PERINTAH KERJA);10-60506-16;GPL HND;TB SKADUD 5;AI-7304;Diproses;COMPLETE;SHIPPED;Grejorio Trevelly Exgriano Sar;Ka TB Subsikal Sihar Skadud 5;LANUD HND;ACTIVE
38209;BC1135233002;21/08/2025;BC1135233002;"10-61209-15; 711002-5";GPL HND;TB SKADUD 5;AI-7303;Diproses;COMPLETE;SHIPPED;Grejorio Trevelly Exgriano Sar;Ka TB Subsikal Sihar Skadud 5;LANUD HND;ACTIVE
37971;BB 112 5 233 002;21/08/2025;PERINTAH KASIHAR SKADRON UDARA 4;213181;GPL ABD;TB SKADUD 4;A-2103;Diproses;NONE;SHIPPED;Kris Widiantoro;Ka TB Subsikal Sihar Skadud 4 Wing 2 Lanud Abd;LANUD ABD;ACTIVE
37984;BB 202 5 233 001;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;372683-1;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
37985;BB 202 5 233 001;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;24346-300C;GPL ABD;TB SKATEK 022;A-1332;;NONE;ENTERED;;;LANUD ABD;
37986;BB 202 5 233 003;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;372340-1;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
37987;BB 202 5 233 004;21/08/2025;;02995-L002001-1;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
37989;BB 202 5 233 005;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;369EDP1-1;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
37991;BB 202 5 233 006;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;M9201A1B;GPL ABD;TB SKATEK 022;A-1332;Diproses;NONE;ENTERED;Josi Kristanto, S.Sos.;Ka GPL Lanud Abd;LANUD ABD;ACTIVE
37931;BB 202 5 233 006;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;5000483;GPL ABD;TB SKATEK 022;A-2111;Diproses;COMPLETE;SHIPPED;Abdul Haris Pujiantoro, S.Tr.Han.;Ka TB Subsikal Sihar Skatek 022 Lanud Abd;LANUD ABD;ACTIVE
37869;BB 118 5 233 001;21/08/2025;Permintaan Kasihar Skadron Udara 32;103036-3/5;GPL ABD;TB SKADUD 32;A-1315;Diproses;NONE;ENTERED;;;LANUD ABD;
37910;BB 112 5 233 001;21/08/2025;PERINTAH KASIHAR SKADRON UDARA 4;1740473;GPL ABD;TB SKADUD 4;A-2103;Diproses;NONE;SHIPPED;Kris Widiantoro;Ka TB Subsikal Sihar Skadud 4 Wing 2 Lanud Abd;LANUD ABD;ACTIVE
37918;BB 202 5 233 001;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;5000484;GPL ABD;TB SKATEK 022;A-2113;Diproses;COMPLETE;SHIPPED;Adrianus Lalandos;Kasubdismatpesbang Dismatau;LANUD ABD;ACTIVE
37921;BB 202 5 233 002;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;5000483;GPL ABD;TB SKATEK 022;A-2113;Diproses;COMPLETE;SHIPPED;Abdul Haris Pujiantoro, S.Tr.Han.;Ka TB Subsikal Sihar Skatek 022 Lanud Abd;LANUD ABD;ACTIVE
37924;BB 202 5 233 003;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;9541208;GPL ABD;TB SKATEK 022;A-2113;Diproses;COMPLETE;SHIPPED;Adrianus Lalandos;Kasubdismatpesbang Dismatau;LANUD ABD;ACTIVE
37925;BB 202 5 233 004;21/08/2025;PERMINTAAN KOMANDAN SKATEK 022;9541212;GPL ABD;TB SKATEK 022;A-2113;Diproses;NONE;SHIPPED;Adrianus Lalandos;Kasubdismatpesbang Dismatau;LANUD ABD;ACTIVE
