Item ID;Part Number;NSN;Nama Barang;PN Lama;Nama Lama;Gudang;Rak;Jumlah;Satuan;Harga Satuan;Komoditi;Komponen;Transaksi Terakhir;Lanud/Depo;Status;Keterangan
IPC-00000009;A3401-1;4720-01-143-1406;HOSE ASSEMBLY,NONMETALLIC;;;TB SATHAR 11;2 F6;0;AY;;C-212;N;;DEPO 10;ACTIVE;
IPC-00000077;A10202;3110-00-108-9247;BEARING,BALL,ANNULAR;;;TB SATHAR 11;IIF6;0;EA;;C-212;N;;DEPO 10;ACTIVE;
IPC-00000397;MS21919WDE5;5340-01-219-3657;CLAMP,LOOP;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IPC-00000884;NAS679-A6;5310-00-576-2020;NUT,SELF-LOCKING,HEXAGON;;;TB SATHAR 11;01A 23E 011;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IPC-00000931;M83248/1-130;5331-00-167-5118;O-RING;;;TB SATHAR 15;;0;EA;137000;;N;;DEPO 10;ACTIVE;
IPC-00001137;RCR20G221JS;5905-00-104-8350;RESISTOR,FIXED,COMPOSITION;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IPC-00001330;NAS1132-4;5305-00-915-4910;SCREW,CLOSE TOLERANCE;;;TB SATHAR 11;01B 02D 001;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IPC-00002279;A6053;4820-01-407-0781;SEAT,VALVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IPC-00003337;MS24585-1420;5360-01-547-5405;SPRING,HELICAL,COMP;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IPC-00003500;NAS1132-5;5305-00-420-0686;SCREW,CLOSE TOLERANCE;;;TB SATHAR 11;01B 02D 001;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IPC-00003842;NAS514P1032-14;5305-00-526-0115;SCREW,MACHINE;;;TB SATHAR 11;01B 01B D04;0;HD;1262000;T-41D;N;;DEPO 10;ACTIVE;
IPC-00006685;35-22944-0201;1560-AU-PAI-1629;COVER;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IPC-00011364;CAN 64248B11-593;1560-AU-PAI-2029;ROD;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IPC-00011830;118163334;5961-14-325-6499;SEMICONDUCTOR DEVIC;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IPC-00015240;PHCR53;5310-01-305-1457;NUT,PLAIN,SLOTTED,HEXAGON;;;GPD 10;;0;EA;;;N;;DEPO 10;ACTIVE;
