Location;Description;Type;Status;Priority;Site
AAU;;OPERATING;OPERATING;;AAU
ABD;;HOLDING;OPERATING;;LANUD ABD
ADI;LANUD ADI SUCIPTO YOGYAKARTA;HOLDING;OPERATING;;LANUD ADI
ATS;;HOLDING;OPERATING;;LANUD ATS
DEPO 10;;HOLDING;OPERATING;;DEPO 10
DEPO 20;;HOLDING;OPERATING;;DEPO 20
DEPO 30;;HOLDING;OPERATING;;DEPO 30
DEPO 40;;HOLDING;OPERATING;;DEPO 40
DEPO 50;;HOLDING;OPERATING;;DEPO 50
DEPO 60;;HOLDING;OPERATING;;DEPO 60
DEPO 70;;HOLDING;OPERATING;;DEPO 70
DEPO 80;;HOLDING;OPERATING;;DEPO 80
DEPO 90;;HOLDING;OPERATING;;DEPO 90
DEPOHAR 10;DEPO PEMELIHARAAN 10 BANDUNG;OPERATING;OPERATING;;DEPO 10
DEPOHAR 20;DEPO PEMELIHARAAN 20 MADIUN;OPERATING;OPERATING;;DEPO 20
DEPOHAR 30;DEPO PEMELIHARAAN 30 MALANG;OPERATING;OPERATING;;DEPO 30
DEPOHAR 40;DEPO PEMELIHARAAN 40 BANDUNG;OPERATING;OPERATING;;DEPO 40
DEPOHAR 50;DEPO PEMELIHARAAN 50 BOYOLALI;OPERATING;OPERATING;;DEPO 50
DEPOHAR 60;DEPO PEMELIHARAAN 60 MADIUN;OPERATING;OPERATING;;DEPO 60
DEPOHAR 70;DEPO PEMELIHARAAN 70 BANDUNG;OPERATING;OPERATING;;DEPO 70
DEPOHAR 90;DEPO PEMELIHARAAN 90 SUBANG;OPERATING;OPERATING;;DEPO 90
HLM;;HOLDING;OPERATING;;LANUD HLM
HND;;HOLDING;OPERATING;;LANUD HND
HQ;;HOLDING;OPERATING;;HQ
HSN;;HOLDING;OPERATING;;LANUD HSN
IKN;;HOLDING;OPERATING;;KOSEK IKN
IWJ;;HOLDING;OPERATING;;LANUD IWJ
KODIKLATAU;;HOLDING;OPERATING;;KODIKLATAU
KOHANUDNAS;;HOLDING;OPERATING;;KOHANUDNAS
KOHARMATAU;;HOLDING;OPERATING;;KOHARMATAU
KOOPSUD 1;;HOLDING;OPERATING;;KOOPSUD 1
KOOPSUD 2;;HOLDING;OPERATING;;KOOPSUD 2
KOOPSUD 3;;HOLDING;OPERATING;;KOOPSUD 3
KOPASGAT;Mako Kopasgat;OPERATING;OPERATING;;KOPASGAT
KOSEK 242;KOMANDO SEKTOR 242 TJW;OPERATING;OPERATING;;KOSEK III
KOSEK 243;KOMANDO SEKTOR 243 TMI;OPERATING;OPERATING;;KOSEK III
KOSEK 244;KOMANDO SEKTOR 244 MRE;OPERATING;OPERATING;;KOSEK III
KOSEK 245;KOMANDO SEKTOR 245 SMI;OPERATING;OPERATING;;KOSEK III
KOSEK I;KOMANDO SEKTOR KOHANUDNAS I;OPERATING;OPERATING;;KOSEK I
KOSEK II;KOMANDO SEKTOR KOHANUDNAS II;OPERATING;OPERATING;;KOSEK II
